id,x,y,z,date_mpu,time_mpu,time_float
206,"0","0","0",2022-03-26,16:52:09,16.8692
207,"0","0","0",2022-03-26,16:52:25,16.8736
208,"0","0","0",2022-03-26,16:52:40,16.8778
209,"0","0","0",2022-03-26,16:52:56,16.8822
210,"0","0","0",2022-03-26,16:53:12,16.8867
211,"0","0","0",2022-03-26,16:53:27,16.8908
212,"0","0","0",2022-03-26,16:53:43,16.8953
213,"0","0","0",2022-03-26,16:53:59,16.8997
214,"0","0","0",2022-03-26,16:54:14,16.9039
215,"0","0","0",2022-03-26,16:54:30,16.9083
216,"0","0","0",2022-03-26,16:54:46,16.9128
217,"0","0","0",2022-03-26,16:55:01,16.9169
218,"0","0","0",2022-03-26,16:55:17,16.9214
219,"0","0","0",2022-03-26,16:55:33,16.9258
220,"0","0","0",2022-03-26,16:55:48,16.93
221,"0","0","0",2022-03-26,16:56:04,16.9344
222,"0","0","0",2022-03-26,16:56:20,16.9389
223,1820,2020,16016,2022-03-26,16:57:02,16.9506
224,1868,2352,15872,2022-03-26,16:57:20,16.9556
225,1960,2408,15628,2022-03-26,16:57:36,16.96
226,2036,2448,15720,2022-03-26,16:57:51,16.9642
227,1980,2548,15764,2022-03-26,16:58:07,16.9686
228,2108,2420,15652,2022-03-26,16:58:23,16.9731
229,1928,2440,15720,2022-03-26,16:58:38,16.9772
230,2104,2440,15756,2022-03-26,16:58:54,16.9817
231,2132,2556,15684,2022-03-26,16:59:10,16.9861
232,2104,2504,15808,2022-03-26,16:59:25,16.9903
233,2068,2548,15820,2022-03-26,16:59:41,16.9947
234,2080,2512,15724,2022-03-26,16:59:57,16.9992
235,2148,2512,15764,2022-03-26,17:00:12,17.0033
236,2108,2468,15840,2022-03-26,17:00:28,17.0078
237,2124,2436,15680,2022-03-26,17:00:44,17.0122
238,2124,2516,15804,2022-03-26,17:00:59,17.0164
239,2040,2536,15736,2022-03-26,17:01:15,17.0208
240,2064,2448,15752,2022-03-26,17:01:31,17.0253
241,2032,2620,15684,2022-03-26,17:01:46,17.0294
242,2036,2540,15844,2022-03-26,17:02:02,17.0339
243,2092,2576,15832,2022-03-26,17:02:18,17.0383
244,2168,2528,15716,2022-03-26,17:02:33,17.0425
245,2192,2516,15704,2022-03-26,17:02:49,17.0469
246,2084,2420,15740,2022-03-26,17:03:05,17.0514
247,2156,2520,15832,2022-03-26,17:03:20,17.0556
248,2064,2588,15680,2022-03-26,17:03:36,17.06
249,2104,2540,15856,2022-03-26,17:03:52,17.0644
250,2056,2448,15644,2022-03-26,17:04:07,17.0686
251,2160,2536,15684,2022-03-26,17:04:23,17.0731
252,2168,2504,15764,2022-03-26,17:04:39,17.0775
253,2124,2484,15788,2022-03-26,17:04:54,17.0817
254,2056,2564,15696,2022-03-26,17:05:10,17.0861
255,2180,2476,15748,2022-03-26,17:05:26,17.0906
256,2080,2500,15664,2022-03-26,17:05:41,17.0947
257,1992,2544,15856,2022-03-26,17:05:57,17.0992
258,2176,2528,15848,2022-03-26,17:06:13,17.1036
259,2128,2600,15648,2022-03-26,17:06:28,17.1078
260,2044,2380,15832,2022-03-26,17:06:44,17.1122
261,2180,2416,15740,2022-03-26,17:07:00,17.1167
262,2040,2440,15568,2022-03-26,17:07:15,17.1208
263,1996,2476,15824,2022-03-26,17:07:31,17.1253
264,"0","0","0",2022-03-26,17:08:10,17.1361
265,"0","0","0",2022-03-26,17:08:27,17.1408
266,"0","0","0",2022-03-26,17:08:43,17.1453
267,"0","0","0",2022-03-26,17:08:59,17.1497
268,"0","0","0",2022-03-26,17:09:15,17.1542
269,"0","0","0",2022-03-26,17:09:31,17.1586
270,"0","0","0",2022-03-26,17:09:46,17.1628
271,"0","0","0",2022-03-26,17:10:02,17.1672
272,"0","0","0",2022-03-26,17:10:18,17.1717
273,"0","0","0",2022-03-26,17:10:33,17.1758
274,"0","0","0",2022-03-26,17:10:49,17.1803
275,"0","0","0",2022-03-26,17:11:05,17.1847
276,"0","0","0",2022-03-26,17:11:20,17.1889
277,"0","0","0",2022-03-26,17:11:36,17.1933
278,"0","0","0",2022-03-26,17:11:52,17.1978
279,"0","0","0",2022-03-26,17:12:07,17.2019
280,"0","0","0",2022-03-26,17:12:23,17.2064
281,"0","0","0",2022-03-26,17:12:39,17.2108
282,"0","0","0",2022-03-26,17:12:54,17.215
283,"0","0","0",2022-03-26,17:13:10,17.2194
284,"0","0","0",2022-03-26,17:13:26,17.2239
285,"0","0","0",2022-03-26,17:13:41,17.2281
286,"0","0","0",2022-03-26,17:13:57,17.2325
287,"0","0","0",2022-03-26,17:14:13,17.2369
288,"0","0","0",2022-03-26,17:14:28,17.2411
289,"0","0","0",2022-03-26,17:14:44,17.2456
290,"0","0","0",2022-03-26,17:15:00,17.25
291,"0","0","0",2022-03-26,17:15:15,17.2542
292,"0","0","0",2022-03-26,17:15:31,17.2586
293,"0","0","0",2022-03-26,17:15:47,17.2631
294,"0","0","0",2022-03-26,17:16:02,17.2672
295,"0","0","0",2022-03-26,17:16:18,17.2717
296,"0","0","0",2022-03-26,17:16:34,17.2761
297,"0","0","0",2022-03-26,17:16:49,17.2803
298,"0","0","0",2022-03-26,17:17:05,17.2847
299,"0","0","0",2022-03-26,17:17:21,17.2892
300,"0","0","0",2022-03-26,17:17:36,17.2933
301,"0","0","0",2022-03-26,17:17:52,17.2978
302,"0","0","0",2022-03-26,17:18:08,17.3022
303,"0","0","0",2022-03-26,17:18:23,17.3064
304,"0","0","0",2022-03-26,17:18:39,17.3108
305,"0","0","0",2022-03-26,17:18:55,17.3153
306,"0","0","0",2022-03-26,17:19:10,17.3194
307,"0","0","0",2022-03-26,17:19:26,17.3239
308,"0","0","0",2022-03-26,17:19:42,17.3283
309,"0","0","0",2022-03-26,17:19:57,17.3325
310,"0","0","0",2022-03-26,17:20:13,17.3369
311,"0","0","0",2022-03-26,17:20:29,17.3414
312,"0","0","0",2022-03-26,17:20:44,17.3456
313,"0","0","0",2022-03-26,17:21:00,17.35
314,"0","0","0",2022-03-26,17:21:16,17.3544
315,"0","0","0",2022-03-26,17:21:31,17.3586
316,"0","0","0",2022-03-26,17:21:47,17.3631
317,"0","0","0",2022-03-26,17:22:03,17.3675
318,"0","0","0",2022-03-26,17:22:18,17.3717
319,"0","0","0",2022-03-26,17:22:34,17.3761
320,"0","0","0",2022-03-26,17:22:50,17.3806
321,"0","0","0",2022-03-26,17:23:05,17.3847
322,"0","0","0",2022-03-26,17:23:21,17.3892
323,"0","0","0",2022-03-26,17:23:37,17.3936
324,"0","0","0",2022-03-26,17:23:52,17.3978
325,"0","0","0",2022-03-26,17:24:08,17.4022
326,"0","0","0",2022-03-26,17:24:24,17.4067
327,"0","0","0",2022-03-26,17:24:39,17.4108
328,"0","0","0",2022-03-26,17:24:55,17.4153
329,"0","0","0",2022-03-26,17:25:11,17.4197
330,"0","0","0",2022-03-26,17:25:26,17.4239
331,"0","0","0",2022-03-26,17:25:42,17.4283
332,"0","0","0",2022-03-26,17:25:58,17.4328
333,"0","0","0",2022-03-26,17:26:13,17.4369
334,-9892,2784,11272,2022-03-26,17:26:30,17.4417
335,-9880,2748,11232,2022-03-26,17:26:46,17.4461
336,-9896,2704,11400,2022-03-26,17:27:01,17.4503
337,-9972,2816,11392,2022-03-26,17:27:17,17.4547
338,-9796,2764,11536,2022-03-26,17:27:33,17.4592
339,-9692,2780,11468,2022-03-26,17:27:48,17.4633
340,-9464,2724,11308,2022-03-26,17:28:04,17.4678
341,-10092,3016,11400,2022-03-26,17:28:20,17.4722
342,"0","0","0",2022-03-26,17:28:39,17.4775
343,"0","0","0",2022-03-26,17:28:54,17.4817
344,"0","0","0",2022-03-26,17:29:10,17.4861
345,"0","0","0",2022-03-26,17:29:26,17.4906
346,-9716,2708,11684,2022-03-26,17:29:44,17.4956
347,-9464,2612,11688,2022-03-26,17:30:03,17.5008
348,-9496,2636,11728,2022-03-26,17:30:18,17.505
349,-9408,2776,11656,2022-03-26,17:30:34,17.5094
350,-4664,-3572,14676,2022-03-26,17:32:33,17.5425
351,-4624,-3580,14520,2022-03-26,17:32:51,17.5475
352,-4500,-3552,14728,2022-03-26,17:33:06,17.5517
353,-4440,-2176,14880,2022-03-26,17:34:18,17.5717
354,-4460,-2292,15076,2022-03-26,17:34:36,17.5767
355,"0","0","0",2022-03-26,17:34:52,17.5811
356,"0","0","0",2022-03-26,17:35:08,17.5856
357,"0","0","0",2022-03-26,17:35:23,17.5897
358,-4284,-2572,14956,2022-03-26,17:35:41,17.5947
359,-4264,-2592,14864,2022-03-26,17:35:59,17.5997
360,-4272,-2536,15012,2022-03-26,17:36:14,17.6039
361,-4300,-2556,14932,2022-03-26,17:36:30,17.6083
362,-4312,-2648,14912,2022-03-26,17:36:46,17.6128
363,-4444,-2600,15076,2022-03-26,17:37:01,17.6169
364,-4216,-2724,15052,2022-03-26,17:37:17,17.6214
365,-4280,-2548,15004,2022-03-26,17:37:33,17.6258
366,-4200,-2664,15128,2022-03-26,17:37:48,17.63
367,-4392,-2660,14980,2022-03-26,17:38:04,17.6344
368,-4324,-2628,14824,2022-03-26,17:38:20,17.6389
369,-4196,-2636,14844,2022-03-26,17:38:35,17.6431
370,-4276,-2580,15052,2022-03-26,17:38:51,17.6475
371,-4340,-2788,14832,2022-03-26,17:39:07,17.6519
372,-4184,-2696,14940,2022-03-26,17:39:22,17.6561
373,-4272,-2624,14984,2022-03-26,17:39:38,17.6606
374,-4364,-2788,14848,2022-03-26,17:39:54,17.665
375,-4340,-2652,14900,2022-03-26,17:40:09,17.6692
