id,x,y,z,date_mpu,time_mpu,time_float
380,-1128,992,15620,2022-03-25,21:34:01,21.5669
381,-1152,928,15692,2022-03-25,21:34:16,21.5711
382,-1132,940,15764,2022-03-25,21:34:32,21.5756
383,-1188,1000,15672,2022-03-25,21:34:48,21.58
384,-1212,1004,15700,2022-03-25,21:35:03,21.5842
385,-1160,960,15808,2022-03-25,21:35:19,21.5886
386,-1156,1000,15744,2022-03-25,21:35:34,21.5928
387,-1164,992,15696,2022-03-25,21:35:50,21.5972
388,-1148,952,15780,2022-03-25,21:36:06,21.6017
389,-1200,952,15732,2022-03-25,21:36:21,21.6058
390,-1180,928,15760,2022-03-25,21:36:37,21.6103
391,-1224,996,15656,2022-03-25,21:36:53,21.6147
392,-1164,968,15628,2022-03-25,21:37:08,21.6189
393,-1200,968,15696,2022-03-25,21:37:24,21.6233
394,-1208,1004,15860,2022-03-25,21:37:40,21.6278
395,-1148,968,15684,2022-03-25,21:37:56,21.6322
396,-1204,972,15576,2022-03-25,21:38:11,21.6364
397,-1156,1016,15756,2022-03-25,21:38:27,21.6408
398,-1172,984,15584,2022-03-25,21:38:43,21.6453
399,-1196,1012,15740,2022-03-25,21:38:58,21.6494
400,-1144,904,15700,2022-03-25,21:39:14,21.6539
401,-1124,1000,15604,2022-03-25,21:39:30,21.6583
402,-1176,952,15676,2022-03-25,21:39:45,21.6625
403,-1164,916,15700,2022-03-25,21:40:01,21.6669
404,-1180,1020,15680,2022-03-25,21:40:17,21.6714
405,-1144,1020,15716,2022-03-25,21:40:32,21.6756
406,-1216,924,15560,2022-03-25,21:40:48,21.68
407,-1192,932,15812,2022-03-25,21:41:04,21.6844
408,-1236,956,15748,2022-03-25,21:41:19,21.6886
409,-1188,948,15712,2022-03-25,21:41:35,21.6931
410,-1176,984,15676,2022-03-25,21:41:51,21.6975
411,-1152,984,15692,2022-03-25,21:42:06,21.7017
412,-1176,984,15800,2022-03-25,21:42:22,21.7061
413,-1124,1040,15808,2022-03-25,21:42:38,21.7106
414,-1132,1000,15784,2022-03-25,21:42:55,21.7153
415,-1232,976,15756,2022-03-25,21:43:10,21.7194
416,-1160,1080,15752,2022-03-25,21:43:26,21.7239
417,-1156,968,15724,2022-03-25,21:43:42,21.7283
418,-1196,976,15672,2022-03-25,21:43:57,21.7325
419,-1244,924,15768,2022-03-25,21:44:13,21.7369
420,-1204,996,15708,2022-03-25,21:44:29,21.7414
421,-1236,996,15720,2022-03-25,21:44:44,21.7456
422,-1156,948,15768,2022-03-25,21:45:00,21.75
423,-1100,948,15764,2022-03-25,21:45:16,21.7544
424,-1248,1024,15684,2022-03-25,21:45:31,21.7586
425,-1236,956,15728,2022-03-25,21:45:47,21.7631
426,-1124,996,15716,2022-03-25,21:46:03,21.7675
427,-1232,1012,15712,2022-03-25,21:46:18,21.7717
428,-1176,940,15788,2022-03-25,21:46:34,21.7761
429,-1152,948,15756,2022-03-25,21:46:50,21.7806
430,-1112,1040,15816,2022-03-25,21:47:05,21.7847
431,-1160,956,15752,2022-03-25,21:47:21,21.7892
432,-1168,912,15792,2022-03-25,21:47:37,21.7936
433,-1180,920,15852,2022-03-25,21:47:52,21.7978
434,-1168,1008,15788,2022-03-25,21:48:08,21.8022
435,-1188,892,15688,2022-03-25,21:48:24,21.8067
436,-1244,932,15724,2022-03-25,21:48:39,21.8108
437,-1240,992,15624,2022-03-25,21:48:55,21.8153
438,-1220,908,15700,2022-03-25,21:49:11,21.8197
439,-1168,940,15700,2022-03-25,21:49:26,21.8239
440,-1196,944,15836,2022-03-25,21:49:42,21.8283
441,-1224,1036,15748,2022-03-25,21:49:58,21.8328
442,-1288,968,15644,2022-03-25,21:50:13,21.8369
443,-1212,984,15716,2022-03-25,21:50:29,21.8414
444,-1132,996,15696,2022-03-25,21:50:45,21.8458
445,-1128,996,15736,2022-03-25,21:51:01,21.8503
446,-1140,996,15672,2022-03-25,21:51:16,21.8544
447,-1148,1040,15664,2022-03-25,21:51:32,21.8589
448,-1172,932,15700,2022-03-25,21:51:47,21.8631
449,-1196,980,15684,2022-03-25,21:52:03,21.8675
450,-1124,984,15668,2022-03-25,21:52:19,21.8719
451,-1124,1060,15780,2022-03-25,21:52:34,21.8761
452,-1176,980,15676,2022-03-25,21:52:50,21.8806
453,-1212,1040,15776,2022-03-25,21:53:06,21.885
